customer_id,sales,profit,orders
CUST11087,1159396.9,237196.9,11
CUST12490,1047081.52,279881.52,5
CUST13045,1018296.3800000001,174096.38,11
CUST12378,972973.27,241473.27,10
CUST10213,936707.3,183507.3,10
CUST12659,920085.5800000001,198885.58,8
CUST12673,892740.3200000001,261640.32,10
CUST13057,890530.4199999999,235330.41999999998,8
CUST11786,882703.4199999999,159703.41999999998,12
CUST10622,874930.9,181530.9,4
CUST11181,867047.0,160047.0,7
CUST11529,865826.52,181826.52,7
CUST10245,854453.48,175853.47999999998,7
CUST11403,851491.52,224391.52000000002,7
CUST11535,838869.27,163769.27,6
CUST10723,838411.4,138711.4,8
CUST12428,832021.63,172421.63,9
CUST11094,831999.51,143499.51,4
CUST10231,831117.8,219417.8,8
CUST10264,829462.24,174862.24,11
CUST12712,829033.74,123533.73999999999,5
CUST12781,828826.1699999999,243626.17,6
CUST13059,824640.02,238840.02,10
CUST10769,809699.2,147899.2,8
CUST10671,806422.08,183222.08000000002,9
CUST10673,801997.97,173597.97,6
CUST11709,799973.42,152473.41999999998,5
CUST11828,798130.5,194630.5,9
CUST11269,797020.6,174420.6,10
CUST12292,790914.48,195514.47999999998,4
CUST11424,786273.08,160073.08,14
CUST12476,782270.35,123270.35,5
CUST11046,780750.32,177950.32,5
CUST10421,772894.91,208094.91,11
CUST11984,772780.83,110280.83,9
CUST12291,768572.11,145872.11000000002,7
CUST12778,766396.73,169496.73,11
CUST13051,762053.94,125353.94,8
CUST13096,761826.1599999999,121326.16,8
CUST12710,756804.14,131004.14,7
CUST10699,751655.9299999999,165755.93,13
CUST10117,750753.0,132353.0,7
CUST11461,749471.8,161471.80000000002,9
CUST12721,744270.26,144570.26,10
CUST10782,743572.83,187972.83000000002,11
CUST12539,743275.52,166275.52000000002,9
CUST10894,740247.71,131347.71,13
CUST13134,736108.51,142108.51,5
CUST11355,732887.96,174187.96,8
CUST12785,731563.77,179263.77000000002,7
CUST11462,729038.89,148238.88999999998,7
CUST12478,727533.8200000001,169433.82,10
CUST12280,726529.2,147929.2,8
CUST10227,722761.2,87661.2,5
CUST10202,719266.7,148866.7,9
CUST10898,718427.44,98827.44,4
CUST12312,714007.85,143807.85,10
CUST12194,713487.6,137087.6,5
CUST12272,706638.61,86438.61,6
CUST12370,705582.02,155582.02,11
CUST11616,704645.13,131345.13,10
CUST11567,699607.1,156607.1,4
CUST12565,697614.28,175714.28,6
CUST11090,697070.25,127370.25,6
CUST10623,696171.65,125171.65000000001,9
CUST12676,693074.78,117574.78,5
CUST11041,692402.56,164102.56,10
CUST12549,690536.24,144336.24,9
CUST10749,688078.19,166378.19,8
CUST13006,682900.16,161600.16,10
CUST10461,682523.75,158823.75,10
CUST10661,679987.84,129887.84,8
CUST12748,676589.5299999999,185889.53,7
CUST11040,675466.5700000001,154966.57,7
CUST11519,673638.5,165038.5,6
CUST10641,671452.32,142452.32,10
CUST11423,669563.46,106463.45999999999,8
CUST11368,668703.9199999999,140403.91999999998,6
CUST13093,666029.43,161329.43,7
CUST11131,664308.28,151408.28,11
CUST10583,663270.28,115570.28,7
CUST11075,658727.3,124427.3,6
CUST11537,658653.88,94953.88,8
CUST11641,657794.46,105294.46,6
CUST10594,657029.73,158729.73,8
CUST12249,649312.28,144912.28,6
CUST13017,646486.34,147786.34,8
CUST12589,643022.48,148922.47999999998,6
CUST11662,642483.6000000001,159183.6,6
CUST12356,642250.8200000001,146750.82,6
CUST10629,639211.0,126211.0,10
CUST11287,639181.66,151181.66,8
CUST11044,637419.85,137419.85,4
CUST12953,637264.24,152764.24,8
CUST10840,636738.52,164238.52,7
CUST10876,636529.2999999999,136929.3,7
CUST12458,634701.14,161301.14,8
CUST10066,629623.36,130923.36,8
CUST12871,629306.88,180206.88,5
CUST13089,628707.24,141007.24,7
CUST10530,626911.49,129211.49,7
CUST12118,625895.0,132495.0,8
CUST10956,625617.76,139617.76,4
CUST11703,625453.0800000001,133453.08000000002,3
CUST12700,623618.37,173618.37,9
CUST12048,622462.26,135662.26,9
CUST11194,621361.44,198461.44,6
CUST10676,618230.8,164130.8,5
CUST10177,614854.78,122154.78,7
CUST10232,613722.39,116622.39,7
CUST11972,612259.3200000001,147659.32,7
CUST11174,611711.91,118111.91,10
CUST12838,609062.11,117562.11,4
CUST11068,608427.5,127127.5,10
CUST11082,607634.85,137034.85,10
CUST10007,606622.83,164122.83000000002,6
CUST12251,603376.9,137576.9,7
CUST10626,602655.69,141555.69,9
CUST12320,600832.5800000001,112532.58,6
CUST12006,600574.54,125674.54000000001,7
CUST11857,597991.44,135191.44,9
CUST12908,597951.79,134551.78999999998,10
CUST10051,597848.02,125548.02,8
CUST12898,597693.26,116793.26,7
CUST10351,594425.98,123725.98,10
CUST10644,594311.96,149411.96,7
CUST11874,592171.79,114271.79,8
CUST10043,590265.6799999999,138565.68,6
CUST11556,589959.5800000001,141059.58000000002,9
CUST10620,589552.68,158852.68,7
CUST10112,588834.8400000001,109634.84,9
CUST11974,585785.96,143085.96,8
CUST13197,583733.48,144033.48,10
CUST10060,582444.21,159344.21,9
CUST13091,582239.01,142839.01,8
CUST10866,581106.52,123506.52,7
CUST11673,580553.85,130453.85,6
CUST11765,580448.72,90648.72,7
CUST11253,577770.9299999999,116970.93,6
CUST12283,577344.49,105444.48999999999,8
CUST11534,576340.92,162440.92,5
CUST11073,575729.01,143429.01,7
CUST10207,575514.8,132114.8,6
CUST10537,573837.17,128537.17,8
CUST10719,571312.11,83412.11,8
CUST10477,570851.96,104851.95999999999,3
CUST11637,568942.63,135942.63,5
CUST10074,568815.6799999999,101015.68,8
CUST11613,568746.92,122546.92,10
CUST11197,567557.15,117457.15,6
CUST11168,565904.96,137504.96,10
CUST10275,565823.46,133723.46,6
CUST10121,565690.34,110090.34,9
CUST13163,565203.21,150203.21000000002,8
